ID_genome_file,eAUC12C,eAUC15C,eAUC18C,eAUC22C,eAUC25C
Algeria_1992_ALA2a,39.22580828622,360.380617734626,406.243357180901,437.906016894716,304.113324061872
Algeria_1992_ALA3a,305.217107873362,549.074867148867,890.470372421479,NA,NA
Algeria_1992_ALG1d,11.8761714201642,69.7707404856679,142.999839063489,237.793702449513,293.866220061965
Argentina_2000_BOO10_F9a2,26.4303386627675,334.80375217232603,559.243258543358,362.183423489799,294.569926988903
Argentina_2000_BOO12_F5a1,220.862459853462,189.516666458942,333.528655573411,227.133662661481,261.302026248855
Argentina_2000_BOO14_F15a3,177.614361451445,404.312337073713,513.624623246035,575.106320347472,612.603641457113
Argentina_2000_BOO28_F15b2,29.4451615608294,273.146068930019,309.126137234185,246.249494434414,285.079709257016
Argentina_2000_BOO29_E12a1,23.8037277395481,211.011759045448,330.535100464364,419.472538440745,288.866278541282
Argentina_2000_BOO32_B5a1,216.750118065332,106.486011475449,135.87042392751,109.765121801578,120.217672193464
Argentina_2000_BOO35_D4a1,28.2853244067717,85.8531829169007,115.312387905758,127.992102392634,132.62489388328
Argentina_2000_BOO36_B4a1,141.343200137693,298.691698153144,431.345316366831,431.390342288731,358.77619092552
Argentina_2000_BOO40_A1a1,19.042713350847,76.4241567676836,165.576249326467,96.7630068579437,82.3674057619735
Argentina_2000_BOO54_F8b1,34.9312840396513,416.245748997604,530.312334227261,302.13450347425203,271.67997033432
Argentina_2000_BOO59_C4a2,25.633180579713,211.914443423467,303.036021108699,344.690770611864,295.567265212754
Argentina_2000_BOO61_FI5b2p,10.7369360350184,55.083755684708,85.3389020356829,93.8581535610829,77.8983750352391
Argentina_2000_BOO71_EI1a2p,24.5440405983676,153.180968499026,224.304208214469,200.002220755214,190.800412341103
Australia_1979to1991_WAC2782_3t,18.7000669771581,82.7768808807365,85.6902464845347,89.6382322579343,87.4516305346662
Australia_1979to1991_WAC3438_17t,174.683400195143,24.2879571826338,32.0121439529738,74.8368622807672,76.3351228468256
Australia_1979to1991_WAC8428_41t,37.9576875106285,140.334336575226,195.676953315139,169.651003206748,172.673068425562
Australia_1979to1991_WAC8430_43t,226.006256546979,92.7602226821791,184.426910932452,219.90367538667,203.503718606225
Australia_1979to1991_WAC8432_45t,22.0986593142244,77.781687193598,208.944129175348,170.799937420403,118.702031229276
Australia_1979to1991_WAC8435_48t,63.8675703624641,228.318222890621,213.283644433392,191.141403903095,150.86677233484
Australia_1979to1991_WAC8436_49t,88.6727016240842,95.8340852612611,169.211999817899,282.822413593844,267.571197003056
Australia_1979to1991_WAC8439_52t,23.2352143290752,85.1749469022253,170.186493243646,282.212960522432,213.101204014679
Australia_1979to1991_WAC8442_55t,25.5942737270019,196.63403747498,280.875002003999,310.013092813846,231.749235284899
Australia_1979to1991_WAC8444_57t,27.8747603367797,264.916334077575,507.931771249144,449.008928168794,379.609282499307
Australia_1979to1991_WAC8448_61t,37.3437137170423,217.202473644653,271.328394709451,266.514332304399,231.005303752757
Australia_1979to1991_WAC8449_62t,21.8490372907831,84.4778242254529,151.749071479021,122.26754322759,123.214536315657
ST01AUS_1A4,11.7810755502979,108.939231216062,110.008021810386,123.297308389187,95.0171707142553
ST01AUS_1A5,119.501731600226,151.932817160063,184.656648167593,272.678683162688,198.575656407467
ST01AUS_1A6,114.709773490135,72.583002258272,165.261193207147,148.781582945385,150.020137731929
ST01AUS_1B1,19.9394690592949,107.817960455671,222.23950199581,182.908323998263,104.518214071759
ST01AUS_1B7,41.4507474144385,157.323607746687,481.562602557391,616.854599448813,454.525897716153
ST01AUS_1B8,16.4021475022339,395.105532895579,595.717545954736,824.663175713489,705.387212761945
