ID_genome_file,Max_grey0C_08dpi,Max_grey0C_12dpi,Max_grey0C_15dpi,Max_grey0C_19dpi,Max_grey18C_08dpi,Max_grey18C_12dpi,Max_grey18C_15dpi,Max_grey18C_19dpi,Max_grey30C_08dpi,Max_grey30C_12dpi,Max_grey30C_15dpi,Max_grey30C_19dpi
ST01AUS_1A4,152.458152958153,160.025,161.3,165.036796536797,161.039682539683,157.614806246385,158.032738095238,165.861904761905,142.666666666667,147.618253968254,153.478787878788,159.988095238095
ST01AUS_1A5,185.803599908863,187.77962962963,167.354918470997,155.625816993464,196.388278388278,192.89696969697,184.53216374269,175.564285714286,194.377897008942,183.935714285714,173.166666666667,157.288461538462
ST01AUS_1A6,165.8,173.105555555556,160.380952380952,171.133333333333,163.555555555556,175.222222222222,163.875,156.875,156.5,170.166666666667,170.333333333333,154.166666666667
ST01AUS_1B1,164.083333333333,NA,158.547619047619,147,158.698717948718,NA,157.083333333333,147.083333333333,152,NA,165.575,150.828703703704
ST01AUS_1B7,168.25,180.305291005291,175.169047619048,169.354497354497,168.641534391534,178.421212121212,173.989583333333,166.802083333333,165.172619047619,173.638888888889,174.916666666667,170.006734006734
ST01AUS_1B8,195.694444444444,184.111111111111,184.793650793651,182.074074074074,200.654761904762,181.092592592593,184.069444444444,184.047619047619,NA,NA,NA,NA
ST01AUS_1C1,154.932519206513,158.945845004669,159.328373015873,160.623232323232,161.323015873016,156.4,153.05,159.766666666667,152.957264957265,155.893772893773,157.968253968254,177.609523809524
ST01AUS_1C2,168.1632996633,169.169191919192,163.469907407407,162.534090909091,160,165,170.333333333333,164.166666666667,167.25,173,175.75,177.25
ST01AUS_1C3,155.5,NA,177.166666666667,159,145.404761904762,NA,168.75,180.616666666667,143.211111111111,NA,165.841666666667,165.552380952381
ST01AUS_1C6,154.142857142857,159.654761904762,157.091919191919,155.814035087719,157.183333333333,154.956196581197,153.012820512821,152.777777777778,153.8911335578,153.444885361552,154.821165501165,163.726666666667
ST01AUS_1C8,172.624158249158,182.648926237162,176.836576207544,150.801472279733,174.896825396825,175.675595238095,168.896613190731,155.162179487179,178.104861111111,184.947479156175,176.066355866356,147.838895713896
ST01AUS_1D4,162.166666666667,186.5,185,174.833333333333,163.039393939394,178.111111111111,179.348484848485,171.462962962963,163.854256854257,181.068181818182,182.47619047619,174.830952380952
ST01AUS_1D5,190.116666666667,194.066666666667,188.666666666667,180.866666666667,178.972222222222,187.7,164.066666666667,176.477777777778,185.785714285714,189.897727272727,166.958333333333,175.458333333333
ST01AUS_1D8,190.153703703704,178.115384615385,186.45,176.457792207792,191.790476190476,184.7,185.091666666667,185.066666666667,201.5,196.166666666667,192.25,216.75
ST01AUS_1E1,206.322510822511,199.667989417989,200.590909090909,205.772435897436,208.475063131313,198.753607503607,194.580619747899,179.94733044733,186.5,205,192,191.5
ST01AUS_1E4,174.810452961672,174.169191919192,160.940208978328,159.817808880309,174.978455877881,182.020723104056,158.679523809524,164.246376811594,170.785185185185,182.875,173.566666666667,174.73544973545
ST01AUS_1E5,157.293650793651,155.316239316239,159.211344211344,167.105555555556,155.555555555556,148.166666666667,170.378787878788,172.151515151515,152.314814814815,156.943181818182,154.847619047619,151.333333333333
ST01AUS_1F2,159.834249084249,176.694444444444,165.861111111111,163.012626262626,160.748148148148,184.041750841751,170.462962962963,166.207407407407,163.833333333333,180.577777777778,165.37037037037,159.591666666667
ST01AUS_1F3,139.438888888889,149.988888888889,156.722222222222,162.448018648019,141.814814814815,156.233333333333,163.966666666667,176.02962962963,145.579365079365,153.470238095238,168.470238095238,165.755952380952
ST01AUS_1F8,185.222222222222,177.063492063492,149.126984126984,146.714285714286,190.027777777778,190.08253968254,166,153.266666666667,183.666666666667,189.5,175.6,159.366666666667
ST01AUS_1G2,150.197034559643,149.970054972514,143.347985347985,149.085024154589,147.547619047619,146.283333333333,139.07264957265,159.944444444444,149.771043771044,154.175,144.425,148.458333333333
ST01AUS_1G5,173.080952380952,180.548340548341,179.119047619048,175.55,161.55,175.876984126984,186.388888888889,172.222222222222,167.671717171717,174.111111111111,175.367521367521,164.861538461538
ST01AUS_1H2,169.188095238095,190.438888888889,184.45,185.533333333333,177.668956043956,180.17094017094,177.777777777778,184.875356125356,185,180.333333333333,184.833333333333,228.5
ST01AUS_1H6,203.507692307692,179.211288711289,160.019813519814,173.054279054279,193.638888888889,176.055555555556,165.555555555556,181.722222222222,195.506069094304,180.916491596639,159.615196078431,182.054166666667
ST01AUS_1H8,159.388888888889,158.055555555556,153.055555555556,149.333333333333,156.25,155.4,152.742857142857,151.216666666667,157.5,163.75,181.25,158.5
ST92ISR_Ar_11g,152.84126984127,161.206349206349,172.222222222222,154.174603174603,156.728205128205,160.722222222222,165.305172413793,154.686868686869,153.5,161.166666666667,175.079365079365,146.583333333333
