IsolateID	Full_name	gvcf_name_seq	Daniel_name	genotype_CL	goodsample
c1_119_2B2	c1_119_2B2	D90_c1_119_2B2_L34_D90_c1_119_2B2_L34	NA	1371	Keep
c1_119_3A1	c1_119_3A1	D91_c1_119_3A1_L34_D91_c1_119_3A1_L34	NA	1445	Keep
c1_119_4B1	c1_119_4B1	D92_c1_119_4B1_L12_D92_c1_119_4B1_L12	NA	662	Keep
c1_119_5A1	c1_119_5A1	D93_c1_119_5A1_L34_D93_c1_119_5A1_L34	NA	53	Keep
c1_119_6A1	c1_119_6A1	D94_c1_119_6A1_L2_D94_c1_119_6A1_L2	NA	1442	Keep
c1_119_6B1	c1_119_6B1	D95_c1_119_6B1_L2_D95_c1_119_6B1_L2	NA	1369	Keep
c1_119_7A1	c1_119_7A1	D96_c1_119_7A1_L2_D96_c1_119_7A1_L2	NA	361	Keep
c1_119_7B1	c1_119_7B1	D97_c1_119_7B1_L23_D97_c1_119_7B1_L23	NA	512	Keep
c1_119_9A1	c1_119_9A1	D98_c1_119_9A1_L23_D98_c1_119_9A1_L23	NA	1394	Keep
c1_119_9B2	c1_119_9B2	D99_c1_119_9B2_L2_D99_c1_119_9B2_L2	NA	323	Keep
c1_135_11B2	c1_135_11B2	SRR10728831	ST16CH_1H32	1203	Keep
c1_135_12A2	c1_135_12A2	D100_c1_135_12A2_L2_D100_c1_135_12A2_L2	NA	18	Keep
c1_135_14B2	c1_135_14B2	D102_c1_135_14B2_L2_D102_c1_135_14B2_L2	NA	249	Keep
c1_135_15B2	c1_135_15B2	B2_030_c1_135_15B2_B2_030_c1_135_15B2	NA	526	Keep
c1_135_15B3	c1_135_15B3	B2_031_c1_135_15B3_B2_031_c1_135_15B3	NA	527	Keep
c1_135_1A3	c1_135_1A3	D106_c1_135_1A3_L2_D106_c1_135_1A3_L2	NA	341	Keep
c1_135_1B3	c1_135_1B3	D107_c1_135_1B3_L2_D107_c1_135_1B3_L2	NA	1350	Keep
c1_135_2A3	c1_135_2A3	B2_032_c1_135_2A3_B2_032_c1_135_2A3	NA	1030	Keep
c1_135_3A1	c1_135_3A1	B2_033_c1_135_3A1_B2_033_c1_135_3A1	NA	524	Keep
c1_135_7B1	c1_135_7B1	B2_299_c1_135_7B1_B2_299_c1_135_7B1	NA	202	Keep
c1_135_8A3	c1_135_8A3	B2_065_c1_135_8A3_B2_065_c1_135_8A3	NA	1297	Keep
c1_135_8B1	c1_135_8B1	D110_c1_135_8B1_L2_D110_c1_135_8B1_L2	NA	857	Keep
c1_135_8B2	c1_135_8B2	B2_066_c1_135_8B2_B2_066_c1_135_8B2	NA	916	Keep
c1_135_9A1	c1_135_9A1	D111_c1_135_9A1_L2_D111_c1_135_9A1_L2	NA	1449	Keep
c1_135_9A3	c1_135_9A3	B2_067_c1_135_9A3_B2_067_c1_135_9A3	NA	1510	Keep
c1_135_9B2	c1_135_9B2	D112_c1_135_9B2_L2_D112_c1_135_9B2_L2	NA	959	Keep
c1_137_14B1	c1_137_14B1	B2_053_c1_137_14B1_B2_053_c1_137_14B1	NA	1397	Keep
c1_137_15A1	c1_137_15A1	B2_054_c1_137_15A1_B2_054_c1_137_15A1	NA	1384	Keep
c1_137_15A2	c1_137_15A2	D115_c1_137_15A2_L2_D115_c1_137_15A2_L2	NA	1257	Keep
c1_137_15A3	c1_137_15A3	B2_055_c1_137_15A3_B2_055_c1_137_15A3	NA	1532	Keep
c1_137_15B2	c1_137_15B2	B2_301_c1_137_15B2_B2_301_c1_137_15B2	NA	258	Keep
c1_137_16A1	c1_137_16A1	D116_c1_137_16A1_L1_D116_c1_137_16A1_L1	NA	456	Keep
c1_137_16B1	c1_137_16B1	D117_c1_137_16B1_L2_D117_c1_137_16B1_L2	NA	457	Keep
c1_137_1A1	c1_137_1A1	B2_056_c1_137_1A1_B2_056_c1_137_1A1	NA	78	Keep
c1_137_1A2	c1_137_1A2	B2_057_c1_137_1A2_B2_057_c1_137_1A2	NA	81	Keep
c1_137_1A3	c1_137_1A3	SRR10728828	ST16CH_1I3	168	Keep
c1_137_1B2	c1_137_1B2	D118_c1_137_1B2_L2_D118_c1_137_1B2_L2	NA	1363	Keep
c1_137_2B1	c1_137_2B1	B2_058_c1_137_2B1_B2_058_c1_137_2B1	NA	680	Keep
c1_137_2B2	c1_137_2B2	B2_059_c1_137_2B2_B2_059_c1_137_2B2	NA	357	Keep
c1_137_6A2	c1_137_6A2	B2_302_c1_137_6A2_B2_302_c1_137_6A2	NA	1520	Keep
c1_137_6A3	c1_137_6A3	D119_c1_137_6A3_L2_D119_c1_137_6A3_L2	NA	1381	Keep
c1_137_8A1	c1_137_8A1	B2_061_c1_137_8A1_B2_061_c1_137_8A1	NA	627	Keep
c1_137_8B2	c1_137_8B2	D120_c1_137_8B2_L2_D120_c1_137_8B2_L2	NA	853	Keep
c1_137_9A3	c1_137_9A3	D121_c1_137_9A3_L2_D121_c1_137_9A3_L2	NA	830	Keep
c1_137_9B2	c1_137_9B2	B2_063_c1_137_9B2_B2_063_c1_137_9B2	NA	169	Keep
c1_137_9B3	c1_137_9B3	D122_c1_137_9B3_L2_D122_c1_137_9B3_L2	NA	150	Keep
c1_14_10A3	c1_14_10A3	B2_001_c1_14_10A3_B2_001_c1_14_10A3	NA	45	Keep
c1_14_11A3	c1_14_11A3	D124_c1_14_11A3_L2_D124_c1_14_11A3_L2	NA	157	Keep
c1_14_12A1	c1_14_12A1	D125_c1_14_12A1_L2_D125_c1_14_12A1_L2	NA	665	Keep
c1_14_13B1	c1_14_13B1	D127_c1_14_13B1_L3_D127_c1_14_13B1_L3	NA	1113	Keep
c1_14_14A1	c1_14_14A1	D128_c1_14_14A1_L2_D128_c1_14_14A1_L2	NA	1286	Keep
c1_14_15A2	c1_14_15A2	D129_c1_14_15A2_L2_D129_c1_14_15A2_L2	NA	411	Keep
c1_14_15B2	c1_14_15B2	SRR10728854	ST16CH_1B73	523	Keep
c1_14_16A1	c1_14_16A1	B2_279_c1_14_16A1_B2_279_c1_14_16A1	NA	371	Keep
c1_14_16B1	c1_14_16B1	D130_c1_14_16B1_L2_D130_c1_14_16B1_L2	NA	364	Keep
c1_14_1A2	c1_14_1A2	D131_c1_14_1A2_L2_D131_c1_14_1A2_L2	NA	1221	Keep
c1_14_1B1	c1_14_1B1	D132_c1_14_1B1_L2_D132_c1_14_1B1_L2	NA	240	Keep
c1_14_1B2	c1_14_1B2	B2_002_c1_14_1B2_B2_002_c1_14_1B2	NA	199	Keep
c1_14_2A3	c1_14_2A3	SRR10728853	ST16CH_1B8	1383	Keep
