gvcf_name	SeqID	collection	plot	leaf	lesion	Full_name	Strain	Seq_name	Daniel_name	HOST
B2_001_c1_14_10A3	B2_1	c1	14	10	10A3	c1_14_10A3	c1_14_10A3	B2_001_c1_14_10A3	NA	LORENZO
B2_002_c1_14_1B2	B2_2	c1	14	1	1B2	c1_14_1B2	c1_14_1B2	B2_002_c1_14_1B2	NA	LORENZO
B2_007_c1_2_2A1	B2_7	c1	2	2	2A1	c1_2_2A1	c1_2_2A1	B2_007_c1_2_2A1	NA	RUNAL
B2_008_c1_2_3B3	B2_8	c1	2	3	3B3	c1_2_3B3	c1_2_3B3	B2_008_c1_2_3B3	NA	RUNAL
B2_009_c1_2_6A1	B2_9	c1	2	6	6A1	c1_2_6A1	c1_2_6A1	B2_009_c1_2_6A1	NA	RUNAL
B2_010_c1_2_8A3	B2_10	c1	2	8	8A3	c1_2_8A3	c1_2_8A3	B2_010_c1_2_8A3	NA	RUNAL
B2_011_c1_2_8B2	B2_11	c1	2	8	8B2	c1_2_8B2	c1_2_8B2	B2_011_c1_2_8B2	NA	RUNAL
B2_012_c1_2_9B3	B2_12	c1	2	9	9B3	c1_2_9B3	c1_2_9B3	B2_012_c1_2_9B3	NA	RUNAL
B2_015_c1_51_12B3	B2_15	c1	51	12	12B3	c1_51_12B3	c1_51_12B3	B2_015_c1_51_12B3	NA	FOREL
B2_016_c1_51_14B2	B2_16	c1	51	14	14B2	c1_51_14B2	c1_51_14B2	B2_016_c1_51_14B2	NA	FOREL
B2_017_c1_85_9A1	B2_17	c1	85	9	9A1	c1_85_9A1	c1_85_9A1	B2_017_c1_85_9A1	NA	ARINA
B2_018_c1_59_8A1	B2_18	c1	59	8	8A1	c1_59_8A1	c1_59_8A1	B2_018_c1_59_8A1	NA	AROBASE
B2_019_c1_51_15B1	B2_19	c1	51	15	15B1	c1_51_15B1	c1_51_15B1	B2_019_c1_51_15B1	NA	FOREL
B2_030_c1_135_15B2	B2_30	c1	135	15	15B2	c1_135_15B2	c1_135_15B2	B2_030_c1_135_15B2	NA	ZINAL
B2_031_c1_135_15B3	B2_31	c1	135	15	15B3	c1_135_15B3	c1_135_15B3	B2_031_c1_135_15B3	NA	ZINAL
B2_032_c1_135_2A3	B2_32	c1	135	2	2A3	c1_135_2A3	c1_135_2A3	B2_032_c1_135_2A3	NA	ZINAL
B2_033_c1_135_3A1	B2_33	c1	135	3	3A1	c1_135_3A1	c1_135_3A1	B2_033_c1_135_3A1	NA	ZINAL
B2_034_c1_438_2A2	B2_34	c1	438	2	2A2	c1_438_2A2	c1_438_2A2	B2_034_c1_438_2A2	NA	ARINA
B2_035_c1_438_5A2	B2_35	c1	438	5	5A2	c1_438_5A2	c1_438_5A2	B2_035_c1_438_5A2	NA	ARINA
B2_036_c1_438_6A1	B2_36	c1	438	6	6A1	c1_438_6A1	c1_438_6A1	B2_036_c1_438_6A1	NA	ARINA
B2_038_c1_438_6B3	B2_38	c1	438	6	6B3	c1_438_6B3	c1_438_6B3	B2_038_c1_438_6B3	NA	ARINA
B2_039_c1_438_7B2	B2_39	c1	438	7	7B2	c1_438_7B2	c1_438_7B2	B2_039_c1_438_7B2	NA	ARINA
B2_040_c1_438_8J1	B2_40	c1	438	8	8J1	c1_438_8J1	c1_438_8J1	B2_040_c1_438_8J1	NA	ARINA
B2_041_c1_335_15A1	B2_41	c1	335	15	15A1	c1_335_15A1	c1_335_15A1	B2_041_c1_335_15A1	NA	AUBUSSON
B2_042_c1_335_15B1	B2_42	c1	335	15	15B1	c1_335_15B1	c1_335_15B1	B2_042_c1_335_15B1	NA	AUBUSSON
B2_043_c1_335_9A2	B2_43	c1	335	9	9A2	c1_335_9A2	c1_335_9A2	B2_043_c1_335_9A2	NA	AUBUSSON
B2_044_c1_335_9B3	B2_44	c1	335	9	9B3	c1_335_9B3	c1_335_9B3	B2_044_c1_335_9B3	NA	AUBUSSON
B2_045_c1_158_16A2	B2_45	c1	158	16	16A2	c1_158_16A2	c1_158_16A2	B2_045_c1_158_16A2	NA	CH CAMEDO
B2_047_c1_158_9A3	B2_47	c1	158	9	9A3	c1_158_9A3	c1_158_9A3	B2_047_c1_158_9A3	NA	CH CAMEDO
B2_049_c1_439_10B1	B2_49	c1	439	10	10B1	c1_439_10B1	c1_439_10B1	B2_049_c1_439_10B1	NA	FOREL
B2_050_c1_237_13A2	B2_50	c1	237	13	13A2	c1_237_13A2	c1_237_13A2	B2_050_c1_237_13A2	NA	SIMANO
B2_051_c1_237_7B2	B2_51	c1	237	7	7B2	c1_237_7B2	c1_237_7B2	B2_051_c1_237_7B2	NA	SIMANO
B2_052_c1_237_8A2	B2_52	c1	237	8	8A2	c1_237_8A2	c1_237_8A2	B2_052_c1_237_8A2	NA	SIMANO
B2_053_c1_137_14B1	B2_53	c1	137	14	14B1	c1_137_14B1	c1_137_14B1	B2_053_c1_137_14B1	NA	TITLIS
B2_054_c1_137_15A1	B2_54	c1	137	15	15A1	c1_137_15A1	c1_137_15A1	B2_054_c1_137_15A1	NA	TITLIS
B2_055_c1_137_15A3	B2_55	c1	137	15	15A3	c1_137_15A3	c1_137_15A3	B2_055_c1_137_15A3	NA	TITLIS
B2_056_c1_137_1A1	B2_56	c1	137	1	1A1	c1_137_1A1	c1_137_1A1	B2_056_c1_137_1A1	NA	TITLIS
B2_057_c1_137_1A2	B2_57	c1	137	1	1A2	c1_137_1A2	c1_137_1A2	B2_057_c1_137_1A2	NA	TITLIS
B2_058_c1_137_2B1	B2_58	c1	137	2	2B1	c1_137_2B1	c1_137_2B1	B2_058_c1_137_2B1	NA	TITLIS
B2_059_c1_137_2B2	B2_59	c1	137	2	2B2	c1_137_2B2	c1_137_2B2	B2_059_c1_137_2B2	NA	TITLIS
B2_061_c1_137_8A1	B2_61	c1	137	8	8A1	c1_137_8A1	c1_137_8A1	B2_061_c1_137_8A1	NA	TITLIS
B2_063_c1_137_9B2	B2_63	c1	137	9	9B2	c1_137_9B2	c1_137_9B2	B2_063_c1_137_9B2	NA	TITLIS
B2_065_c1_135_8A3	B2_65	c1	135	8	8A3	c1_135_8A3	c1_135_8A3	B2_065_c1_135_8A3	NA	ZINAL
B2_066_c1_135_8B2	B2_66	c1	135	8	8B2	c1_135_8B2	c1_135_8B2	B2_066_c1_135_8B2	NA	ZINAL
B2_067_c1_135_9A3	B2_67	c1	135	9	9A3	c1_135_9A3	c1_135_9A3	B2_067_c1_135_9A3	NA	ZINAL
B2_068_c1_580_3A1	B2_68	c1	580	3	3A1	c1_580_3A1	c1_580_3A1	B2_068_c1_580_3A1	NA	AROBASE
B2_069_c1_580_5B2	B2_69	c1	580	5	5B2	c1_580_5B2	c1_580_5B2	B2_069_c1_580_5B2	NA	AROBASE
B2_070_c1_580_8B2	B2_70	c1	580	8	8B2	c1_580_8B2	c1_580_8B2	B2_070_c1_580_8B2	NA	AROBASE
B2_071_c1_541_11B1	B2_71	c1	541	11	11B1	c1_541_11B1	c1_541_11B1	B2_071_c1_541_11B1	NA	AUBUSSON
B2_072_c1_541_11B2	B2_72	c1	541	11	11B2	c1_541_11B2	c1_541_11B2	B2_072_c1_541_11B2	NA	AUBUSSON
B2_074_c1_541_6A1	B2_74	c1	541	6	6A1	c1_541_6A1	c1_541_6A1	B2_074_c1_541_6A1	NA	AUBUSSON
B2_076_c1_470_2A3	B2_76	c1	470	2	2A3	c1_470_2A3	c1_470_2A3	B2_076_c1_470_2A3	NA	CH CAMEDO
